fecha,titulo_rutina,nombre_ejercicio,grupo_principal,grupos_secundarios,cabezas_regiones,set_index,peso_kg,reps,tipo_set
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",3,100,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",4,100,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",1,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",2,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",3,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",1,27.5,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",2,27.5,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",3,27.5,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",1,10,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",2,10,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",3,10,10,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",1,25,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",2,25,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",3,25,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",0,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",1,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",2,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",3,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",0,60,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",1,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",2,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",3,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",0,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",1,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",2,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",3,100,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",0,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",1,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",2,70,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",0,27.5,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",1,27.5,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Preacher Curl (Barbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza corta), Bíceps braquial (cabeza larga), Braquial, Braquiorradial",2,27.5,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",0,10,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",1,10,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Seated Incline Curl (Dumbbell),Bíceps,Antebrazo,"Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Braquial, Braquiorradial",2,10,10,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",0,25,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",1,25,12,normal
"Friday, Nov 14, 2025 at 02:27PM",PULL,Hammer Curl (Dumbbell),Bíceps,Antebrazo,"Braquiorradial, Braquial, Bíceps braquial (cabeza larga y corta)",2,25,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps braquial (todas las cabezas), Deltoides anterior",0,40,15,warmup
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps braquial (todas las cabezas), Deltoides anterior",1,80,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps braquial (todas las cabezas), Deltoides anterior",2,80,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps braquial (todas las cabezas), Deltoides anterior",3,80,6,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps braquial (todas las cabezas), Deltoides anterior",4,75,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Incline Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza clavicular), Deltoides anterior, Tríceps braquial",0,50,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Incline Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza clavicular), Deltoides anterior, Tríceps braquial",1,50,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Incline Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza clavicular), Deltoides anterior, Tríceps braquial",2,50,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Incline Bench Press (Barbell),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza clavicular), Deltoides anterior, Tríceps braquial",3,50,8,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Lateral Raise (Dumbbell),Hombro,"Trapecio, Manguito Rotador","Deltoides medial (o lateral), Deltoides anterior, Deltoides posterior, Trapecio superior",0,20,15,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Lateral Raise (Dumbbell),Hombro,"Trapecio, Manguito Rotador","Deltoides medial (o lateral), Deltoides anterior, Deltoides posterior, Trapecio superior",1,20,15,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Lateral Raise (Dumbbell),Hombro,"Trapecio, Manguito Rotador","Deltoides medial (o lateral), Deltoides anterior, Deltoides posterior, Trapecio superior",2,20,15,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Seated Overhead Press (Barbell),Hombro,"Tríceps, Trapecio","Deltoides anterior, Deltoides medio, Tríceps (todas las cabezas), Trapecio superior",0,35,10,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Seated Overhead Press (Barbell),Hombro,"Tríceps, Trapecio","Deltoides anterior, Deltoides medio, Tríceps (todas las cabezas), Trapecio superior",1,35,10,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Seated Overhead Press (Barbell),Hombro,"Tríceps, Trapecio","Deltoides anterior, Deltoides medio, Tríceps (todas las cabezas), Trapecio superior",2,35,10,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Triceps Pushdown,Tríceps,Antebrazo,"Tríceps braquial (Cabeza lateral), Tríceps braquial (Cabeza medial), Tríceps braquial (Cabeza larga)",0,54,15,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Triceps Pushdown,Tríceps,Antebrazo,"Tríceps braquial (Cabeza lateral), Tríceps braquial (Cabeza medial), Tríceps braquial (Cabeza larga)",1,54,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Triceps Pushdown,Tríceps,Antebrazo,"Tríceps braquial (Cabeza lateral), Tríceps braquial (Cabeza medial), Tríceps braquial (Cabeza larga)",2,54,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Cable Fly Crossovers,Pecho,Hombro,"Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Deltoides anterior",0,50,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Cable Fly Crossovers,Pecho,Hombro,"Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Deltoides anterior",1,50,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Cable Fly Crossovers,Pecho,Hombro,"Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Deltoides anterior",2,50,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Cable Fly Crossovers,Pecho,Hombro,"Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Deltoides anterior",3,50,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Iso-Lateral Chest Press (Machine),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps (todas las cabezas), Deltoides anterior",0,60,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Iso-Lateral Chest Press (Machine),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps (todas las cabezas), Deltoides anterior",1,60,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Iso-Lateral Chest Press (Machine),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps (todas las cabezas), Deltoides anterior",2,60,12,normal
"Thursday, Nov 13, 2025 at 02:12PM",PUSH,Iso-Lateral Chest Press (Machine),Pecho,"Tríceps, Hombro","Pectoral mayor (cabeza esternal), Pectoral mayor (cabeza clavicular), Tríceps (todas las cabezas), Deltoides anterior",3,60,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Squat (Smith Machine),Pierna,"Glúteo, Isquiotibiales, Núcleo (Core)","Cuádriceps (Vasto lateral), Cuádriceps (Vasto medial), Glúteo mayor, Aductores mayores, Erectores de la columna",0,50,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Squat (Smith Machine),Pierna,"Glúteo, Isquiotibiales, Núcleo (Core)","Cuádriceps (Vasto lateral), Cuádriceps (Vasto medial), Glúteo mayor, Aductores mayores, Erectores de la columna",1,50,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Squat (Smith Machine),Pierna,"Glúteo, Isquiotibiales, Núcleo (Core)","Cuádriceps (Vasto lateral), Cuádriceps (Vasto medial), Glúteo mayor, Aductores mayores, Erectores de la columna",2,50,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Deadlift (Barbell),Pierna,"Espalda, Glúteos, Antebrazo","Isquiotibiales (Bíceps femoral, Semitendinoso, Semimembranoso), Glúteo mayor, Erectores espinales (Lumbar y torácico), Cuádriceps (Vasto lateral y medial), Trapecio (superior, medio e inferior), Dorsal ancho (Estabilización)",0,80,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Deadlift (Barbell),Pierna,"Espalda, Glúteos, Antebrazo","Isquiotibiales (Bíceps femoral, Semitendinoso, Semimembranoso), Glúteo mayor, Erectores espinales (Lumbar y torácico), Cuádriceps (Vasto lateral y medial), Trapecio (superior, medio e inferior), Dorsal ancho (Estabilización)",1,80,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Deadlift (Barbell),Pierna,"Espalda, Glúteos, Antebrazo","Isquiotibiales (Bíceps femoral, Semitendinoso, Semimembranoso), Glúteo mayor, Erectores espinales (Lumbar y torácico), Cuádriceps (Vasto lateral y medial), Trapecio (superior, medio e inferior), Dorsal ancho (Estabilización)",2,80,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Thrust (Barbell),Glúteo,"Isquiotibiales, Núcleo (Estabilización)","Glúteo Mayor, Glúteo Medio, Bíceps femoral (cabeza larga), Semitendinoso, Semimembranoso, Erectores de la columna (Estabilización)",0,90,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Thrust (Barbell),Glúteo,"Isquiotibiales, Núcleo (Estabilización)","Glúteo Mayor, Glúteo Medio, Bíceps femoral (cabeza larga), Semitendinoso, Semimembranoso, Erectores de la columna (Estabilización)",1,90,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Thrust (Barbell),Glúteo,"Isquiotibiales, Núcleo (Estabilización)","Glúteo Mayor, Glúteo Medio, Bíceps femoral (cabeza larga), Semitendinoso, Semimembranoso, Erectores de la columna (Estabilización)",2,90,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Thrust (Barbell),Glúteo,"Isquiotibiales, Núcleo (Estabilización)","Glúteo Mayor, Glúteo Medio, Bíceps femoral (cabeza larga), Semitendinoso, Semimembranoso, Erectores de la columna (Estabilización)",3,90,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Leg Extension (Machine),Pierna,,"Recto femoral, Vasto lateral, Vasto medial, Vasto intermedio",0,135,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Leg Extension (Machine),Pierna,,"Recto femoral, Vasto lateral, Vasto medial, Vasto intermedio",1,135,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Leg Extension (Machine),Pierna,,"Recto femoral, Vasto lateral, Vasto medial, Vasto intermedio",2,135,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Seated Leg Curl (Machine),Pierna,Pantorrilla,"Bíceps femoral (cabeza larga), Bíceps femoral (cabeza corta), Semitendinoso, Semimembranoso, Gastrocnemio",0,143,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Seated Leg Curl (Machine),Pierna,Pantorrilla,"Bíceps femoral (cabeza larga), Bíceps femoral (cabeza corta), Semitendinoso, Semimembranoso, Gastrocnemio",1,143,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Seated Leg Curl (Machine),Pierna,Pantorrilla,"Bíceps femoral (cabeza larga), Bíceps femoral (cabeza corta), Semitendinoso, Semimembranoso, Gastrocnemio",2,143,12,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Adduction (Machine),Pierna,,"Aductor mayor, Aductor largo, Aductor corto, Grácil, Pectíneo",0,190,15,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Adduction (Machine),Pierna,,"Aductor mayor, Aductor largo, Aductor corto, Grácil, Pectíneo",1,190,15,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Adduction (Machine),Pierna,,"Aductor mayor, Aductor largo, Aductor corto, Grácil, Pectíneo",2,190,15,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Standing Leg Curls,Pierna,"Glúteos, Gemelos","Isquiotibiales (femorales), Bíceps femoral, Semitendinoso, Semimembranoso, Glúteo mayor",0,10,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Abduction (Machine),Glúteos,Cadera,"Glúteo medio, Glúteo menor, Tensor de la fascia lata",0,160,20,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Abduction (Machine),Glúteos,Cadera,"Glúteo medio, Glúteo menor, Tensor de la fascia lata",1,160,20,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Hip Abduction (Machine),Glúteos,Cadera,"Glúteo medio, Glúteo menor, Tensor de la fascia lata",2,160,20,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Bulgarian Split Squat,Pierna,"Nalga, Core, Isquiotibiales","Cuádriceps (todas las cabezas), Glúteo mayor, Glúteo medio, Aductores, Erectores de la columna",0,25,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Bulgarian Split Squat,Pierna,"Nalga, Core, Isquiotibiales","Cuádriceps (todas las cabezas), Glúteo mayor, Glúteo medio, Aductores, Erectores de la columna",1,25,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Bulgarian Split Squat,Pierna,"Nalga, Core, Isquiotibiales","Cuádriceps (todas las cabezas), Glúteo mayor, Glúteo medio, Aductores, Erectores de la columna",2,25,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Bulgarian Split Squat,Pierna,"Nalga, Core, Isquiotibiales","Cuádriceps (todas las cabezas), Glúteo mayor, Glúteo medio, Aductores, Erectores de la columna",3,25,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Pendulum Squat (Machine),Pierna,"Glúteos, Isquiotibiales","Recto femoral, Vasto lateral, Vasto medial, Glúteo mayor, Aductores",0,10,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Pendulum Squat (Machine),Pierna,"Glúteos, Isquiotibiales","Recto femoral, Vasto lateral, Vasto medial, Glúteo mayor, Aductores",1,10,10,normal
"Wednesday, Nov 12, 2025 at 02:13PM",LEG,Pendulum Squat (Machine),Pierna,"Glúteos, Isquiotibiales","Recto femoral, Vasto lateral, Vasto medial, Glúteo mayor, Aductores",2,10,10,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",0,100,12,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",1,100,12,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",2,100,12,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",3,100,10,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",0,60,12,normal
"Tuesday, Nov 11, 2025 at 02:45PM",PULL,Pullover (Machine),Espalda,"Pectoral, Redondo mayor, Tríceps","Latissimus Dorsi, Pectoral mayor (cabeza esternal), Redondo mayor (Teres Major), Tríceps (cabeza larga)",1,60,12,normal
